sku_id,product_id,size,stock_count,base_price,discount_percentage
SKU-1083-XL,PRD-1391,XL,0,124.61,0.2
SKU-1084-XL,PRD-1440,XL,24,142.38,0.05
SKU-1085-S,PRD-1444,S,48,220.17,0.5
SKU-1086-L,PRD-1200,L,50,251.95,0.05
SKU-1087-M,PRD-1217,M,0,42.17,0.5
SKU-1088-OneSize,PRD-1030,One Size,38,164.64,0.4
SKU-1089-36,PRD-1339,36,34,99.7,0.3
SKU-1090-OneSize,PRD-1346,One Size,39,135.6,0.0
SKU-1091-S,PRD-1171,S,24,58.24,0.0
SKU-1092-OneSize,PRD-1442,One Size,16,192.95,0.1
SKU-1093-XXL,PRD-1240,XXL,42,194.36,0.05
SKU-1094-M,PRD-1107,M,18,25.42,0.0
SKU-1095-10,PRD-1214,10,14,26.19,0.0
SKU-1096-OneSize,PRD-1309,One Size,38,95.36,0.25
SKU-1097-28,PRD-1429,28,25,85.18,0.0
SKU-1098-XS,PRD-1269,XS,6,158.19,0.15
SKU-1099-L,PRD-1057,L,7,107.23,0.25
SKU-1100-38,PRD-1064,38,9,149.82,0.0
SKU-1101-M,PRD-1366,M,41,42.45,0.0
SKU-1102-OneSize,PRD-1286,One Size,48,94.61,0.2
SKU-1103-6,PRD-1420,6,39,172.08,0.0
SKU-1104-7,PRD-1008,7,8,270.79,0.1
SKU-1105-12,PRD-1192,12,0,126.83,0.0
SKU-1106-6,PRD-1441,6,3,292.88,0.05
SKU-1107-9,PRD-1037,9,0,235.93,0.25
SKU-1108-OneSize,PRD-1164,One Size,38,226.52,0.0
SKU-1109-7,PRD-1084,7,42,149.02,0.0
SKU-1110-34,PRD-1445,34,13,152.38,0.5
SKU-1111-8,PRD-1459,8,13,282.13,0.0
SKU-1112-XXL,PRD-1050,XXL,46,223.9,0.3
SKU-1113-XL,PRD-1296,XL,29,54.19,0.25
SKU-1114-OneSize,PRD-1251,One Size,7,75.63,0.0
SKU-1115-XXL,PRD-1078,XXL,5,80.97,0.0
SKU-1116-S,PRD-1011,S,35,197.2,0.15
SKU-1117-28,PRD-1048,28,40,66.85,0.1
SKU-1118-30,PRD-1332,30,0,130.82,0.05
SKU-1119-6,PRD-1438,6,22,291.26,0.4
SKU-1120-12,PRD-1009,12,20,213.4,0.4
SKU-1121-OneSize,PRD-1360,One Size,47,123.98,0.0
SKU-1122-7,PRD-1422,7,31,64.15,0.0
SKU-1123-38,PRD-1399,38,49,280.63,0.5
SKU-1124-XS,PRD-1355,XS,13,36.73,0.5
SKU-1125-32,PRD-1299,32,35,216.36,0.0
SKU-1126-S,PRD-1426,S,47,156.59,0.15
SKU-1127-10,PRD-1223,10,10,240.79,0.15
SKU-1128-L,PRD-1227,L,3,225.28,0.0
SKU-1129-11,PRD-1245,11,9,125.77,0.0
SKU-1130-8,PRD-1464,8,13,271.62,0.25
SKU-1131-OneSize,PRD-1463,One Size,27,176.52,0.3
SKU-1132-OneSize,PRD-1014,One Size,36,73.13,0.0
SKU-1133-XL,PRD-1447,XL,46,117.34,0.25
SKU-1134-8,PRD-1103,8,17,262.94,0.4
SKU-1135-XL,PRD-1131,XL,49,64.89,0.3
SKU-1136-7,PRD-1055,7,36,145.82,0.1
SKU-1137-OneSize,PRD-1196,One Size,23,147.13,0.5
SKU-1138-OneSize,PRD-1418,One Size,24,225.41,0.0
SKU-1139-OneSize,PRD-1411,One Size,29,237.27,0.05
SKU-1140-8,PRD-1274,8,41,221.87,0.5
SKU-1141-10,PRD-1178,10,46,249.32,0.05
SKU-1142-10,PRD-1312,10,8,211.29,0.3
SKU-1143-OneSize,PRD-1159,One Size,28,191.64,0.15
SKU-1144-OneSize,PRD-1089,One Size,5,199.44,0.0
SKU-1145-6,PRD-1454,6,31,166.49,0.0
SKU-1146-XS,PRD-1165,XS,27,253.84,0.0
SKU-1147-7,PRD-1152,7,34,264.57,0.05
SKU-1148-30,PRD-1153,30,33,155.89,0.0
SKU-1149-XS,PRD-1305,XS,2,179.87,0.2
SKU-1150-11,PRD-1374,11,11,157.16,0.4
SKU-1151-XXL,PRD-1239,XXL,39,185.27,0.0
SKU-1152-8,PRD-1207,8,18,81.79,0.0
SKU-1153-28,PRD-1143,28,45,280.45,0.05
SKU-1154-XXL,PRD-1494,XXL,0,157.58,0.0
SKU-1155-42,PRD-1433,42,9,244.28,0.0
SKU-1156-M,PRD-1173,M,19,176.24,0.2
SKU-1157-M,PRD-1479,M,3,242.38,0.0
SKU-1158-OneSize,PRD-1071,One Size,0,168.12,0.0
SKU-1159-OneSize,PRD-1425,One Size,37,41.81,0.05
SKU-1160-XL,PRD-1380,XL,4,47.18,0.05
SKU-1161-OneSize,PRD-1145,One Size,45,73.04,0.3
SKU-1162-XXL,PRD-1219,XXL,13,89.64,0.5
SKU-1163-S,PRD-1138,S,0,176.35,0.3
SKU-1164-9,PRD-1067,9,48,228.9,0.5
SKU-1165-38,PRD-1065,38,26,208.85,0.5
SKU-1166-40,PRD-1150,40,32,267.18,0.0
SKU-1167-OneSize,PRD-1209,One Size,44,173.98,0.3
SKU-1168-8,PRD-1307,8,35,204.1,0.3
SKU-1169-OneSize,PRD-1252,One Size,33,281.38,0.15
SKU-1170-XL,PRD-1415,XL,0,297.6,0.15
SKU-1171-38,PRD-1455,38,5,135.45,0.5
SKU-1172-L,PRD-1326,L,11,251.31,0.15
SKU-1173-OneSize,PRD-1362,One Size,29,177.67,0.05
SKU-1174-40,PRD-1168,40,0,234.39,0.1
SKU-1175-8,PRD-1255,8,49,289.25,0.25
SKU-1176-L,PRD-1467,L,33,20.04,0.0
SKU-1177-OneSize,PRD-1198,One Size,25,186.8,0.3
SKU-1178-S,PRD-1228,S,36,298.15,0.1
SKU-1179-28,PRD-1215,28,0,104.08,0.05
SKU-1180-OneSize,PRD-1378,One Size,50,259.59,0.0
SKU-1181-12,PRD-1474,12,25,250.13,0.1
SKU-1182-32,PRD-1182,32,26,46.39,0.25
SKU-1183-M,PRD-1002,M,39,63.7,0.1
SKU-1184-OneSize,PRD-1049,One Size,18,269.09,0.05
SKU-1185-7,PRD-1367,7,0,91.74,0.1
SKU-1186-XS,PRD-1105,XS,14,179.73,0.4
SKU-1187-S,PRD-1140,S,12,225.58,0.15
SKU-1188-OneSize,PRD-1235,One Size,1,68.4,0.4
SKU-1189-OneSize,PRD-1073,One Size,11,186.65,0.1
SKU-1190-OneSize,PRD-1350,One Size,37,224.61,0.4
SKU-1191-L,PRD-1060,L,14,41.96,0.0
SKU-1192-M,PRD-1409,M,0,117.41,0.2
SKU-1193-L,PRD-1285,L,38,280.46,0.0
SKU-1194-S,PRD-1482,S,45,229.34,0.4
SKU-1195-28,PRD-1304,28,1,197.48,0.5
SKU-1196-40,PRD-1026,40,33,35.15,0.3
SKU-1197-OneSize,PRD-1148,One Size,30,109.4,0.4
SKU-1198-S,PRD-1306,S,33,111.5,0.05
SKU-1199-7,PRD-1195,7,46,34.14,0.2
SKU-1200-L,PRD-1352,L,47,230.79,0.4
SKU-1201-30,PRD-1151,30,34,82.17,0.1
SKU-1202-12,PRD-1330,12,17,130.4,0.0
SKU-1203-38,PRD-1098,38,20,43.1,0.4
SKU-1204-OneSize,PRD-1197,One Size,15,173.47,0.1
SKU-1205-OneSize,PRD-1203,One Size,19,131.58,0.2
SKU-1206-32,PRD-1314,32,46,233.36,0.25
SKU-1207-10,PRD-1206,10,18,75.46,0.2
SKU-1208-OneSize,PRD-1295,One Size,0,177.12,0.3
SKU-1209-S,PRD-1110,S,36,87.84,0.1
SKU-1210-12,PRD-1261,12,8,140.41,0.5
SKU-1211-30,PRD-1179,30,11,51.5,0.2
SKU-1212-9,PRD-1288,9,0,122.26,0.05
SKU-1213-OneSize,PRD-1095,One Size,15,116.46,0.5
SKU-1214-28,PRD-1244,28,3,235.5,0.0
SKU-1215-38,PRD-1462,38,35,192.53,0.25
SKU-1216-XL,PRD-1270,XL,16,60.82,0.0
SKU-1217-OneSize,PRD-1167,One Size,19,75.9,0.15
SKU-1218-S,PRD-1174,S,3,232.16,0.0
SKU-1219-OneSize,PRD-1345,One Size,41,227.07,0.05
SKU-1220-XL,PRD-1001,XL,0,279.47,0.1
SKU-1221-OneSize,PRD-1243,One Size,0,116.11,0.0
SKU-1222-36,PRD-1139,36,10,146.01,0.0
SKU-1223-M,PRD-1155,M,0,78.51,0.3
SKU-1224-7,PRD-1253,7,18,77.05,0.3
SKU-1225-M,PRD-1460,M,0,173.65,0.4
SKU-1226-OneSize,PRD-1124,One Size,9,214.61,0.5
SKU-1227-XS,PRD-1342,XS,0,125.44,0.5
SKU-1228-XL,PRD-1031,XL,18,32.16,0.0
SKU-1229-28,PRD-1322,28,4,99.51,0.4
SKU-1230-M,PRD-1323,M,42,34.85,0.5
SKU-1231-6,PRD-1137,6,16,38.64,0.5
SKU-1232-M,PRD-1388,M,0,205.62,0.5
SKU-1233-8,PRD-1225,8,14,261.99,0.0
SKU-1234-M,PRD-1273,M,35,262.86,0.5
SKU-1235-OneSize,PRD-1154,One Size,8,84.72,0.2
SKU-1236-30,PRD-1158,30,0,273.07,0.25
SKU-1237-XL,PRD-1465,XL,1,168.83,0.0
SKU-1238-7,PRD-1122,7,42,160.17,0.25
SKU-1239-XL,PRD-1046,XL,23,279.37,0.0
SKU-1240-XS,PRD-1025,XS,41,89.26,0.3
SKU-1241-36,PRD-1156,36,39,113.39,0.2
SKU-1242-11,PRD-1408,11,0,63.95,0.15
SKU-1243-OneSize,PRD-1212,One Size,24,119.5,0.1
SKU-1244-S,PRD-1452,S,0,298.87,0.3
SKU-1245-M,PRD-1259,M,21,247.32,0.5
SKU-1246-36,PRD-1130,36,6,266.02,0.0
SKU-1247-XL,PRD-1491,XL,0,285.74,0.05
SKU-1248-32,PRD-1221,32,46,115.69,0.2
SKU-1249-XXL,PRD-1395,XXL,36,58.42,0.2
SKU-1250-10,PRD-1469,10,17,288.96,0.4
SKU-1251-XXL,PRD-1005,XXL,47,212.22,0.2
SKU-1252-S,PRD-1493,S,9,180.4,0.2
SKU-1253-M,PRD-1034,M,27,274.72,0.15
SKU-1254-42,PRD-1099,42,0,171.82,0.05
SKU-1255-OneSize,PRD-1097,One Size,40,182.68,0.5
SKU-1256-S,PRD-1443,S,0,261.51,0.1
SKU-1257-XXL,PRD-1466,XXL,19,217.43,0.3
SKU-1258-S,PRD-1349,S,21,140.41,0.0
SKU-1259-32,PRD-1176,32,0,108.89,0.3
SKU-1260-OneSize,PRD-1278,One Size,4,71.55,0.0
SKU-1261-OneSize,PRD-1353,One Size,0,234.31,0.2
SKU-1262-L,PRD-1094,L,41,104.93,0.5
SKU-1263-OneSize,PRD-1074,One Size,1,62.54,0.05
SKU-1264-OneSize,PRD-1289,One Size,23,56.82,0.0
SKU-1265-XL,PRD-1357,XL,15,192.74,0.4
SKU-1266-OneSize,PRD-1088,One Size,47,186.97,0.05
SKU-1267-XXL,PRD-1294,XXL,18,27.29,0.0
SKU-1268-XXL,PRD-1392,XXL,12,238.34,0.0
SKU-1269-OneSize,PRD-1230,One Size,17,219.36,0.15
SKU-1270-S,PRD-1111,S,0,258.59,0.25
SKU-1271-9,PRD-1044,9,0,58.49,0.05
SKU-1272-S,PRD-1468,S,2,29.01,0.0
SKU-1273-M,PRD-1407,M,35,286.05,0.05
SKU-1274-OneSize,PRD-1319,One Size,0,232.17,0.0
SKU-1275-OneSize,PRD-1320,One Size,43,279.58,0.25
SKU-1276-XL,PRD-1498,XL,50,157.17,0.15
SKU-1277-L,PRD-1133,L,50,268.51,0.2
SKU-1278-40,PRD-1086,40,38,237.33,0.4
SKU-1279-XXL,PRD-1029,XXL,7,250.8,0.15
SKU-1280-40,PRD-1076,40,0,191.21,0.4
SKU-1281-XL,PRD-1341,XL,47,170.11,0.5
SKU-1282-11,PRD-1263,11,48,240.33,0.3
SKU-1283-XS,PRD-1383,XS,45,146.44,0.0
SKU-1284-7,PRD-1363,7,25,165.23,0.2
SKU-1285-OneSize,PRD-1473,One Size,42,176.15,0.3
SKU-1286-12,PRD-1023,12,17,196.57,0.0
SKU-1287-S,PRD-1125,S,0,101.52,0.2
SKU-1288-OneSize,PRD-1012,One Size,41,236.62,0.1
SKU-1289-L,PRD-1211,L,41,66.61,0.1
SKU-1290-10,PRD-1083,10,39,277.32,0.3
SKU-1291-OneSize,PRD-1108,One Size,36,149.79,0.5
SKU-1292-L,PRD-1293,L,14,45.31,0.3
SKU-1293-30,PRD-1430,30,29,70.33,0.4
SKU-1294-XXL,PRD-1490,XXL,15,172.98,0.2
SKU-1295-L,PRD-1499,L,21,110.56,0.0
SKU-1296-OneSize,PRD-1492,One Size,18,147.02,0.05
SKU-1297-OneSize,PRD-1213,One Size,14,45.24,0.15
SKU-1298-XXL,PRD-1308,XXL,38,201.59,0.0
SKU-1299-XXL,PRD-1061,XXL,41,225.3,0.0
SKU-1300-OneSize,PRD-1186,One Size,49,217.73,0.5
SKU-1301-OneSize,PRD-1081,One Size,26,43.88,0.2
SKU-1302-OneSize,PRD-1096,One Size,10,126.02,0.2
SKU-1303-OneSize,PRD-1390,One Size,29,235.1,0.15
SKU-1304-OneSize,PRD-1398,One Size,15,65.38,0.0
SKU-1305-S,PRD-1417,S,0,235.35,0.0
SKU-1306-9,PRD-1369,9,47,106.25,0.25
SKU-1307-OneSize,PRD-1471,One Size,47,195.4,0.0
SKU-1308-32,PRD-1118,32,28,288.91,0.0
SKU-1309-36,PRD-1370,36,24,23.41,0.25
SKU-1310-OneSize,PRD-1226,One Size,10,172.17,0.0
SKU-1311-XL,PRD-1368,XL,31,267.15,0.05
SKU-1312-7,PRD-1381,7,6,184.87,0.25
SKU-1313-9,PRD-1004,9,0,134.83,0.0
SKU-1314-10,PRD-1310,10,32,188.02,0.05
SKU-1315-XL,PRD-1247,XL,0,97.86,0.5
SKU-1316-10,PRD-1456,10,12,249.62,0.05
SKU-1317-6,PRD-1177,6,30,71.75,0.0
SKU-1318-OneSize,PRD-1181,One Size,12,30.27,0.0
SKU-1319-11,PRD-1401,11,0,181.86,0.4
SKU-1320-M,PRD-1405,M,12,112.7,0.0
SKU-1321-XS,PRD-1387,XS,13,50.48,0.0
SKU-1322-7,PRD-1439,7,37,208.18,0.4
SKU-1323-XXL,PRD-1481,XXL,32,213.61,0.4
SKU-1324-10,PRD-1265,10,47,240.44,0.0
SKU-1325-L,PRD-1496,L,12,229.8,0.15
SKU-1326-XS,PRD-1301,XS,42,46.07,0.1
SKU-1327-M,PRD-1389,M,19,123.19,0.2
SKU-1328-XS,PRD-1194,XS,2,232.35,0.3
SKU-1329-30,PRD-1193,30,0,101.98,0.0
SKU-1330-6,PRD-1421,6,20,214.48,0.1
SKU-1331-8,PRD-1292,8,11,167.56,0.3
SKU-1332-OneSize,PRD-1400,One Size,0,214.82,0.4
SKU-1333-6,PRD-1402,6,12,50.59,0.5
SKU-1334-OneSize,PRD-1413,One Size,26,155.42,0.4
SKU-1335-XXL,PRD-1141,XXL,44,100.4,0.4
SKU-1336-38,PRD-1325,38,39,92.69,0.4
SKU-1337-10,PRD-1267,10,13,119.07,0.0
SKU-1338-XL,PRD-1053,XL,5,177.53,0.3
SKU-1339-XXL,PRD-1166,XXL,0,196.91,0.25
SKU-1340-S,PRD-1333,S,10,267.42,0.05
SKU-1341-11,PRD-1358,11,5,101.33,0.05
SKU-1342-XS,PRD-1024,XS,28,53.09,0.25
SKU-1343-30,PRD-1233,30,16,226.48,0.05
SKU-1344-XL,PRD-1241,XL,30,299.71,0.2
SKU-1345-6,PRD-1199,6,42,113.45,0.3
SKU-1346-12,PRD-1435,12,0,198.49,0.0
SKU-1347-XXL,PRD-1266,XXL,26,76.32,0.1
SKU-1348-M,PRD-1106,M,7,241.24,0.1
SKU-1349-OneSize,PRD-1343,One Size,47,161.86,0.15
SKU-1350-XS,PRD-1022,XS,0,51.86,0.15
SKU-1351-OneSize,PRD-1120,One Size,34,130.88,0.4
SKU-1352-OneSize,PRD-1190,One Size,9,252.96,0.05
SKU-1353-M,PRD-1136,M,47,253.46,0.5
SKU-1354-OneSize,PRD-1033,One Size,49,276.52,0.0
SKU-1355-32,PRD-1119,32,1,154.81,0.5
SKU-1356-L,PRD-1424,L,39,269.77,0.3
SKU-1357-M,PRD-1113,M,7,149.48,0.2
SKU-1358-XXL,PRD-1021,XXL,25,35.68,0.3
SKU-1359-M,PRD-1427,M,0,178.17,0.5
SKU-1360-M,PRD-1248,M,25,175.44,0.0
SKU-1361-34,PRD-1075,34,2,181.66,0.15
SKU-1362-OneSize,PRD-1458,One Size,8,38.53,0.0
SKU-1363-36,PRD-1364,36,1,255.4,0.15
SKU-1364-40,PRD-1453,40,49,195.41,0.0
SKU-1365-XL,PRD-1092,XL,42,189.58,0.0
SKU-1366-10,PRD-1082,10,3,52.71,0.1
SKU-1367-38,PRD-1428,38,9,218.75,0.1
SKU-1368-OneSize,PRD-1416,One Size,16,44.29,0.05
SKU-1369-8,PRD-1264,8,50,146.52,0.1
SKU-1370-7,PRD-1085,7,6,167.02,0.0
SKU-1371-XS,PRD-1351,XS,18,124.77,0.0
SKU-1372-OneSize,PRD-1315,One Size,0,275.73,0.25
SKU-1373-10,PRD-1123,10,10,26.97,0.25
SKU-1374-32,PRD-1340,32,0,73.25,0.25
SKU-1375-36,PRD-1006,36,0,237.14,0.0
SKU-1376-XS,PRD-1258,XS,41,250.19,0.3
SKU-1377-XXL,PRD-1451,XXL,39,297.95,0.05
SKU-1378-28,PRD-1204,28,1,148.61,0.3
SKU-1379-XS,PRD-1047,XS,1,21.14,0.0
SKU-1380-11,PRD-1262,11,7,257.46,0.0
SKU-1381-38,PRD-1257,38,35,150.72,0.0
SKU-1382-6,PRD-1238,6,0,165.75,0.5
SKU-1383-36,PRD-1434,36,0,26.28,0.1
SKU-1384-XXL,PRD-1484,XXL,48,269.79,0.15
SKU-1385-S,PRD-1412,S,22,73.9,0.1
SKU-1386-38,PRD-1302,38,46,236.37,0.5
SKU-1387-6,PRD-1115,6,0,96.33,0.0
SKU-1388-OneSize,PRD-1201,One Size,6,52.04,0.4
SKU-1389-XL,PRD-1188,XL,0,163.93,0.05
SKU-1390-OneSize,PRD-1077,One Size,0,173.81,0.1
SKU-1391-S,PRD-1335,S,13,284.11,0.1
SKU-1392-XL,PRD-1242,XL,9,88.54,0.0
SKU-1393-36,PRD-1277,36,31,191.7,0.15
SKU-1394-10,PRD-1279,10,49,144.21,0.0
SKU-1395-6,PRD-1134,6,37,151.8,0.5
SKU-1396-XS,PRD-1423,XS,29,49.65,0.0
SKU-1397-6,PRD-1019,6,11,139.4,0.0
SKU-1398-42,PRD-1109,42,20,192.56,0.1
SKU-1399-8,PRD-1303,8,22,248.87,0.5
SKU-1400-30,PRD-1394,30,31,292.62,0.25
SKU-1401-OneSize,PRD-1208,One Size,10,46.01,0.25
SKU-1402-OneSize,PRD-1297,One Size,16,147.55,0.5
SKU-1403-XXL,PRD-1477,XXL,4,218.85,0.25
SKU-1404-OneSize,PRD-1016,One Size,35,84.86,0.05
SKU-1405-OneSize,PRD-1324,One Size,0,261.1,0.4
SKU-1406-M,PRD-1260,M,45,275.59,0.2
SKU-1407-S,PRD-1010,S,0,215.88,0.5
SKU-1408-M,PRD-1039,M,0,240.85,0.15
SKU-1409-OneSize,PRD-1373,One Size,18,156.49,0.0
SKU-1410-42,PRD-1040,42,41,51.6,0.25
SKU-1411-L,PRD-1321,L,35,256.8,0.1
SKU-1412-12,PRD-1432,12,8,117.6,0.4
SKU-1413-7,PRD-1135,7,2,162.22,0.2
SKU-1414-30,PRD-1101,30,3,111.23,0.5
SKU-1415-30,PRD-1276,30,7,241.87,0.3
SKU-1416-42,PRD-1072,42,35,132.22,0.2
SKU-1417-34,PRD-1144,34,19,193.83,0.3
SKU-1418-7,PRD-1042,7,7,292.68,0.2
SKU-1419-30,PRD-1311,30,33,115.39,0.4
SKU-1420-OneSize,PRD-1487,One Size,27,239.6,0.2
SKU-1421-10,PRD-1090,10,10,240.44,0.3
SKU-1422-34,PRD-1056,34,1,68.45,0.5
SKU-1423-XS,PRD-1283,XS,15,227.01,0.4
SKU-1424-L,PRD-1476,L,2,52.0,0.4
SKU-1425-OneSize,PRD-1457,One Size,15,111.1,0.0
SKU-1426-L,PRD-1397,L,28,69.32,0.2
SKU-1427-30,PRD-1184,30,25,187.5,0.5
SKU-1428-OneSize,PRD-1229,One Size,10,111.66,0.5
SKU-1429-OneSize,PRD-1488,One Size,23,45.34,0.0
SKU-1430-XL,PRD-1246,XL,42,272.9,0.5
SKU-1431-OneSize,PRD-1475,One Size,19,231.97,0.5
SKU-1432-S,PRD-1376,S,15,146.82,0.1
SKU-1433-OneSize,PRD-1348,One Size,44,192.35,0.25
SKU-1434-S,PRD-1069,S,25,77.58,0.15
SKU-1435-OneSize,PRD-1185,One Size,44,179.67,0.5
SKU-1436-36,PRD-1431,36,46,277.17,0.2
SKU-1437-XXL,PRD-1142,XXL,0,295.11,0.15
SKU-1438-OneSize,PRD-1224,One Size,8,183.15,0.4
SKU-1439-OneSize,PRD-1329,One Size,32,257.33,0.1
SKU-1440-28,PRD-1379,28,11,123.37,0.3
SKU-1441-XS,PRD-1365,XS,8,20.23,0.3
SKU-1442-12,PRD-1114,12,15,294.02,0.0
SKU-1443-36,PRD-1403,36,7,262.38,0.05
SKU-1444-L,PRD-1127,L,19,216.61,0.2
SKU-1445-XXL,PRD-1161,XXL,23,109.07,0.2
SKU-1446-9,PRD-1003,9,0,126.83,0.3
SKU-1447-OneSize,PRD-1087,One Size,5,205.49,0.25
SKU-1448-S,PRD-1220,S,40,72.69,0.2
SKU-1449-12,PRD-1162,12,22,278.84,0.2
SKU-1450-32,PRD-1414,32,8,100.76,0.5
SKU-1451-7,PRD-1187,7,24,57.59,0.0
SKU-1452-OneSize,PRD-1495,One Size,6,60.31,0.25
SKU-1453-XXL,PRD-1290,XXL,3,142.28,0.0
SKU-1454-30,PRD-1079,30,39,58.41,0.2
SKU-1455-42,PRD-1300,42,10,270.19,0.4
SKU-1456-L,PRD-1356,L,12,194.5,0.25
SKU-1457-XL,PRD-1157,XL,28,138.74,0.25
SKU-1458-L,PRD-1338,L,34,119.48,0.0
SKU-1459-40,PRD-1316,40,22,189.27,0.4
SKU-1460-42,PRD-1169,42,39,257.1,0.05
SKU-1461-36,PRD-1231,36,0,135.02,0.3
SKU-1462-10,PRD-1249,10,12,122.74,0.0
SKU-1463-XL,PRD-1163,XL,44,155.31,0.15
SKU-1464-6,PRD-1500,6,0,182.47,0.0
SKU-1465-32,PRD-1461,32,28,224.44,0.3
SKU-1466-OneSize,PRD-1036,One Size,10,150.17,0.0
SKU-1467-XL,PRD-1318,XL,43,269.17,0.0
SKU-1468-34,PRD-1146,34,44,152.28,0.5
SKU-1469-30,PRD-1052,30,0,211.53,0.3
SKU-1470-XL,PRD-1121,XL,0,107.49,0.0
SKU-1471-8,PRD-1336,8,20,169.8,0.0
