product_id,name,description,category,material,occasion
PRD-1030,Summit Backpack,"This on-trend backpack is crafted from premium Leather for a look that works just as well in the office or client meetings. It's built to be comfortable and hard-wearing, so it holds up to daily wear without losing its shape. The design includes a brushed interior finish and an anti-odor treatment, giving you both form and function in one piece.",Accessories,Leather,Business
PRD-1031,Nordic Bomber Jacket,"This elegant bomber jacket is crafted from premium Down Fill for a look that works just as well for a relaxed, everyday look. It's built to be comfortable and rugged, so it holds up to daily wear without losing its shape. The design includes a brushed interior finish and moisture-wicking lining, giving you both form and function in one piece.",Outerwear,Down Fill,Casual
PRD-1032,Horizon Vest,"This chic vest is crafted from premium Down Fill for a look that works just as well for formal occasions and the office. It's built to be flexible and hard-wearing, so it holds up to daily wear without losing its shape. The design includes a brushed interior finish and moisture-wicking lining, giving you both form and function in one piece.",Outerwear,Down Fill,Formal
PRD-1033,Ridgeline Wallet,"A wardrobe staple, this wallet pairs chic styling with a lightweight feel you'll want to wear all day. Made from Stainless Steel, it's engineered to be tough season after season. Thoughtful details like a hidden interior pocket and reflective trim for low-light visibility make it ideal for weddings and other special events.",Accessories,Stainless Steel,Wedding
PRD-1034,Urban Hoodie,"This on-trend hoodie is crafted from premium Polyester for a look that works just as well for weddings and other special events. It's built to be breathable and durable, so it holds up to daily wear without losing its shape. The design includes an anti-odor treatment and a brushed interior finish, giving you both form and function in one piece.",Tops,Polyester,Wedding
PRD-1035,Metro Boot,"This modern boot is crafted from premium Canvas for a look that works just as well for weddings and other special events. It's built to be airy and rugged, so it holds up to daily wear without losing its shape. The design includes a taped, seam-sealed construction and a hidden interior pocket, giving you both form and function in one piece.",Footwear,Canvas,Wedding
PRD-1036,Cascade Scarf,"This on-trend scarf is crafted from premium Wool for a look that works just as well for weddings and other special events. It's built to be airy and tough, so it holds up to daily wear without losing its shape. The design includes eco-friendly recycled materials and double-stitched seams, giving you both form and function in one piece.",Accessories,Wool,Wedding
PRD-1037,Drift Sneaker,"Designed for those who want on-trend looks without sacrificing performance, this Mesh sneaker is weatherproof and lightweight from morning commutes to weekend adventures. Reviewers consistently praise how tough the construction feels, thanks to reflective trim for low-light visibility. It also features a taped, seam-sealed construction for added versatility.",Footwear,Mesh,Casual
PRD-1038,Coastal Chelsea Boot,"Whether you're headed out in the office or client meetings or just running errands, this windproof chelsea boot keeps you covered. The Synthetic construction is both breathable and tough, and reflective trim for low-light visibility adds a practical touch. Finished with double-stitched seams, it's a stylish choice for almost any setting.",Footwear,Synthetic,Business
PRD-1039,Cascade Sweater,"Designed for those who want sleek looks without sacrificing performance, this Cotton sweater is insulated and flexible from morning commutes to weekend adventures. Reviewers consistently praise how sturdy the construction feels, thanks to eco-friendly recycled materials. It also features reflective trim for low-light visibility for added versatility.",Tops,Cotton,Casual
PRD-1040,Urban Chinos,"Designed for those who want sharp-looking looks without sacrificing performance, this Ripstop Nylon chinos is insulated and airy from morning commutes to weekend adventures. Reviewers consistently praise how hard-wearing the construction feels, thanks to a reinforced toe cap. It also features reinforced stitching for added versatility.",Bottoms,Ripstop Nylon,Casual
PRD-1041,Coastal Sneaker,"A wardrobe staple, this sneaker pairs sharp-looking styling with a breathable feel you'll want to wear all day. Made from Rubber, it's engineered to be long-lasting season after season. Thoughtful details like a taped, seam-sealed construction and a relaxed, roomy fit make it ideal for formal occasions and the office.",Footwear,Rubber,Formal
PRD-1042,Cascade Loafer,"Whether you're headed out for a relaxed, everyday look or just running errands, this water-resistant loafer keeps you covered. The Synthetic construction is both lightweight and reinforced, and a brushed interior finish adds a practical touch. Finished with a slim, tapered fit, it's a sleek choice for almost any setting.",Footwear,Synthetic,Casual
PRD-1043,Drift Boot,"A wardrobe staple, this boot pairs sharp-looking styling with a flexible feel you'll want to wear all day. Made from Rubber, it's engineered to be reinforced season after season. Thoughtful details like a relaxed, roomy fit and articulated seams for freedom of movement make it ideal for a relaxed, everyday look.",Footwear,Rubber,Casual
PRD-1044,Drift Chelsea Boot,"This stylish chelsea boot is crafted from premium Mesh for a look that works just as well for formal occasions and the office. It's built to be comfortable and sturdy, so it holds up to daily wear without losing its shape. The design includes articulated seams for freedom of movement and double-stitched seams, giving you both form and function in one piece.",Footwear,Mesh,Formal
PRD-1045,Vantage Loafer,"Designed for those who want elegant looks without sacrificing performance, this Rubber loafer is weatherproof and lightweight from morning commutes to weekend adventures. Reviewers consistently praise how sturdy the construction feels, thanks to a hidden interior pocket. It also features reinforced stitching for added versatility.",Footwear,Rubber,Wedding
PRD-1046,Metro Sweater,"Whether you're headed out while traveling or on the go or just running errands, this waterproof sweater keeps you covered. The Cotton construction is both airy and durable, and eco-friendly recycled materials adds a practical touch. Finished with double-stitched seams, it's a on-trend choice for almost any setting.",Tops,Cotton,Travel
PRD-1047,Summit Sweater,"This modern sweater is crafted from premium Merino Wool for a look that works just as well during workouts and high-intensity activity. It's built to be flexible and reinforced, so it holds up to daily wear without losing its shape. The design includes a brushed interior finish and articulated seams for freedom of movement, giving you both form and function in one piece.",Tops,Merino Wool,Activewear
PRD-1048,Alpine Chinos,"Designed for those who want elegant looks without sacrificing performance, this Ripstop Nylon chinos is insulated and soft from morning commutes to weekend adventures. Reviewers consistently praise how durable the construction feels, thanks to reflective trim for low-light visibility. It also features reinforced stitching for added versatility.",Bottoms,Ripstop Nylon,Activewear
PRD-1049,Drift Tote Bag,"Designed for those who want stylish looks without sacrificing performance, this Wool tote bag is insulated and flexible from morning commutes to weekend adventures. Reviewers consistently praise how long-lasting the construction feels, thanks to a quick-release buckle. It also features articulated seams for freedom of movement for added versatility.",Accessories,Wool,Business
PRD-1050,Drift T-Shirt,"A wardrobe staple, this t-shirt pairs elegant styling with a soft feel you'll want to wear all day. Made from Bamboo Blend, it's engineered to be long-lasting season after season. Thoughtful details like a reinforced toe cap and reflective trim for low-light visibility make it ideal while traveling or on the go.",Tops,Bamboo Blend,Travel
PRD-1051,Alpine Button-Down Shirt,"Whether you're headed out for formal occasions and the office or just running errands, this weatherproof button-down shirt keeps you covered. The Modal construction is both cozy and hard-wearing, and eco-friendly recycled materials adds a practical touch. Finished with a slim, tapered fit, it's a sleek choice for almost any setting.",Tops,Modal,Formal
PRD-1052,Coastal Chinos,"A wardrobe staple, this chinos pairs sharp-looking styling with a cozy feel you'll want to wear all day. Made from Ripstop Nylon, it's engineered to be hard-wearing season after season. Thoughtful details like a hidden interior pocket and articulated seams for freedom of movement make it ideal while traveling or on the go.",Bottoms,Ripstop Nylon,Travel
PRD-1053,Ridgeline Henley,"Designed for those who want sharp-looking looks without sacrificing performance, this Polyester henley is water-resistant and comfortable from morning commutes to weekend adventures. Reviewers consistently praise how tough the construction feels, thanks to a reinforced toe cap. It also features an anti-odor treatment for added versatility.",Tops,Polyester,Outdoor
PRD-1054,Ridgeline Anorak,"A wardrobe staple, this anorak pairs sharp-looking styling with a lightweight feel you'll want to wear all day. Made from Nylon, it's engineered to be tough season after season. Thoughtful details like moisture-wicking lining and double-stitched seams make it ideal during workouts and high-intensity activity.",Outerwear,Nylon,Activewear
PRD-1055,Summit Sneaker,"Designed for those who want sharp-looking looks without sacrificing performance, this Suede sneaker is windproof and comfortable from morning commutes to weekend adventures. Reviewers consistently praise how durable the construction feels, thanks to an anti-odor treatment. It also features a brushed interior finish for added versatility.",Footwear,Suede,Formal
PRD-1056,Drift Jeans,"Whether you're headed out during workouts and high-intensity activity or just running errands, this quick-drying jeans keeps you covered. The Wool Blend construction is both lightweight and tough, and an anti-odor treatment adds a practical touch. Finished with articulated seams for freedom of movement, it's a sleek choice for almost any setting.",Bottoms,Wool Blend,Activewear
PRD-1057,Trailblazer Windbreaker,"Designed for those who want on-trend looks without sacrificing performance, this Gore-Tex windbreaker is insulated and soft from morning commutes to weekend adventures. Reviewers consistently praise how durable the construction feels, thanks to a relaxed, roomy fit. It also features a slim, tapered fit for added versatility.",Outerwear,Gore-Tex,Travel
PRD-1058,Cascade Boot,"Whether you're headed out on hiking trails and outdoor excursions or just running errands, this windproof boot keeps you covered. The Leather construction is both cozy and long-lasting, and eco-friendly recycled materials adds a practical touch. Finished with a reinforced toe cap, it's a on-trend choice for almost any setting.",Footwear,Leather,Outdoor
PRD-1059,Vantage Beanie,"Whether you're headed out during workouts and high-intensity activity or just running errands, this windproof beanie keeps you covered. The Wool construction is both comfortable and sturdy, and a taped, seam-sealed construction adds a practical touch. Finished with adjustable straps, it's a elegant choice for almost any setting.",Accessories,Wool,Activewear
PRD-1060,Coastal Blouse,"Whether you're headed out while traveling or on the go or just running errands, this quick-drying blouse keeps you covered. The Merino Wool construction is both soft and durable, and eco-friendly recycled materials adds a practical touch. Finished with a hidden interior pocket, it's a modern choice for almost any setting.",Tops,Merino Wool,Travel
PRD-1061,Metro Sweater,"This sleek sweater is crafted from premium Merino Wool for a look that works just as well for weddings and other special events. It's built to be soft and tough, so it holds up to daily wear without losing its shape. The design includes adjustable straps and a taped, seam-sealed construction, giving you both form and function in one piece.",Tops,Merino Wool,Wedding
PRD-1062,Metro Sandal,"Whether you're headed out on hiking trails and outdoor excursions or just running errands, this windproof sandal keeps you covered. The Leather construction is both comfortable and sturdy, and articulated seams for freedom of movement adds a practical touch. Finished with reinforced stitching, it's a sleek choice for almost any setting.",Footwear,Leather,Outdoor
PRD-1063,Cascade Watch,"Whether you're headed out for a relaxed, everyday look or just running errands, this windproof watch keeps you covered. The Wool construction is both airy and reinforced, and an anti-odor treatment adds a practical touch. Finished with reinforced stitching, it's a modern choice for almost any setting.",Accessories,Wool,Casual
PRD-1064,Voyager Trousers,"Designed for those who want modern looks without sacrificing performance, this Ripstop Nylon trousers is waterproof and soft from morning commutes to weekend adventures. Reviewers consistently praise how sturdy the construction feels, thanks to an anti-odor treatment. It also features a hidden interior pocket for added versatility.",Bottoms,Ripstop Nylon,Business
PRD-1065,Cascade Trousers,"Whether you're headed out in the office or client meetings or just running errands, this insulated trousers keeps you covered. The Polyester construction is both soft and rugged, and a slim, tapered fit adds a practical touch. Finished with adjustable straps, it's a sharp-looking choice for almost any setting.",Bottoms,Polyester,Business
PRD-1066,Horizon Scarf,"This chic scarf is crafted from premium Leather for a look that works just as well on hiking trails and outdoor excursions. It's built to be lightweight and reinforced, so it holds up to daily wear without losing its shape. The design includes moisture-wicking lining and eco-friendly recycled materials, giving you both form and function in one piece.",Accessories,Leather,Outdoor
PRD-1067,Metro Sandal,"Designed for those who want modern looks without sacrificing performance, this Leather sandal is weatherproof and comfortable from morning commutes to weekend adventures. Reviewers consistently praise how sturdy the construction feels, thanks to an anti-odor treatment. It also features a quick-release buckle for added versatility.",Footwear,Leather,Wedding
PRD-1068,Heritage Chinos,"This stylish chinos is crafted from premium Polyester for a look that works just as well while traveling or on the go. It's built to be airy and rugged, so it holds up to daily wear without losing its shape. The design includes a slim, tapered fit and a reinforced toe cap, giving you both form and function in one piece.",Bottoms,Polyester,Travel
PRD-1069,Summit Bomber Jacket,"Designed for those who want stylish looks without sacrificing performance, this Softshell bomber jacket is water-resistant and cozy from morning commutes to weekend adventures. Reviewers consistently praise how rugged the construction feels, thanks to a hidden interior pocket. It also features double-stitched seams for added versatility.",Outerwear,Softshell,Casual
PRD-1070,Horizon Sneaker,"Designed for those who want modern looks without sacrificing performance, this Rubber sneaker is water-resistant and comfortable from morning commutes to weekend adventures. Reviewers consistently praise how long-lasting the construction feels, thanks to an anti-odor treatment. It also features a slim, tapered fit for added versatility.",Footwear,Rubber,Business
PRD-1071,Urban Tote Bag,"Designed for those who want on-trend looks without sacrificing performance, this Nylon tote bag is insulated and breathable from morning commutes to weekend adventures. Reviewers consistently praise how long-lasting the construction feels, thanks to reflective trim for low-light visibility. It also features moisture-wicking lining for added versatility.",Accessories,Nylon,Business
PRD-1072,Urban Jeans,"Designed for those who want sharp-looking looks without sacrificing performance, this Corduroy jeans is quick-drying and airy from morning commutes to weekend adventures. Reviewers consistently praise how reinforced the construction feels, thanks to moisture-wicking lining. It also features a slim, tapered fit for added versatility.",Bottoms,Corduroy,Business
PRD-1073,Cascade Scarf,"This chic scarf is crafted from premium Leather for a look that works just as well while traveling or on the go. It's built to be flexible and long-lasting, so it holds up to daily wear without losing its shape. The design includes a quick-release buckle and a reinforced toe cap, giving you both form and function in one piece.",Accessories,Leather,Travel
PRD-1074,Vantage Belt,"Whether you're headed out for weddings and other special events or just running errands, this quick-drying belt keeps you covered. The Wool construction is both soft and long-lasting, and double-stitched seams adds a practical touch. Finished with an anti-odor treatment, it's a stylish choice for almost any setting.",Accessories,Wool,Wedding
PRD-1075,Nordic Cargo Pants,"A wardrobe staple, this cargo pants pairs on-trend styling with a comfortable feel you'll want to wear all day. Made from Wool Blend, it's engineered to be sturdy season after season. Thoughtful details like a brushed interior finish and a relaxed, roomy fit make it ideal for formal occasions and the office.",Bottoms,Wool Blend,Formal
PRD-1076,Metro Joggers,"Designed for those who want modern looks without sacrificing performance, this Wool Blend joggers is windproof and soft from morning commutes to weekend adventures. Reviewers consistently praise how rugged the construction feels, thanks to double-stitched seams. It also features moisture-wicking lining for added versatility.",Bottoms,Wool Blend,Activewear
PRD-1077,Metro Beanie,"This modern beanie is crafted from premium Nylon for a look that works just as well in the office or client meetings. It's built to be lightweight and sturdy, so it holds up to daily wear without losing its shape. The design includes an anti-odor treatment and double-stitched seams, giving you both form and function in one piece.",Accessories,Nylon,Business
PRD-1078,Horizon Sweater,"A wardrobe staple, this sweater pairs on-trend styling with a lightweight feel you'll want to wear all day. Made from Linen, it's engineered to be durable season after season. Thoughtful details like a reinforced toe cap and reinforced stitching make it ideal for weddings and other special events.",Tops,Linen,Wedding
PRD-1079,Trailblazer Leggings,"Whether you're headed out during workouts and high-intensity activity or just running errands, this waterproof leggings keeps you covered. The Corduroy construction is both soft and reinforced, and eco-friendly recycled materials adds a practical touch. Finished with a slim, tapered fit, it's a chic choice for almost any setting.",Bottoms,Corduroy,Activewear
PRD-1080,Drift Windbreaker,"Designed for those who want on-trend looks without sacrificing performance, this Nylon windbreaker is insulated and airy from morning commutes to weekend adventures. Reviewers consistently praise how sturdy the construction feels, thanks to reflective trim for low-light visibility. It also features eco-friendly recycled materials for added versatility.",Outerwear,Nylon,Formal
PRD-1081,Voyager Tote Bag,"A wardrobe staple, this tote bag pairs chic styling with a airy feel you'll want to wear all day. Made from Stainless Steel, it's engineered to be long-lasting season after season. Thoughtful details like a quick-release buckle and a slim, tapered fit make it ideal on hiking trails and outdoor excursions.",Accessories,Stainless Steel,Outdoor
PRD-1082,Metro Boot,"This sharp-looking boot is crafted from premium Leather for a look that works just as well in the office or client meetings. It's built to be flexible and rugged, so it holds up to daily wear without losing its shape. The design includes a slim, tapered fit and a reinforced toe cap, giving you both form and function in one piece.",Footwear,Leather,Business
PRD-1083,Drift Loafer,"A wardrobe staple, this loafer pairs sleek styling with a airy feel you'll want to wear all day. Made from Synthetic, it's engineered to be rugged season after season. Thoughtful details like moisture-wicking lining and double-stitched seams make it ideal on hiking trails and outdoor excursions.",Footwear,Synthetic,Outdoor
PRD-1084,Voyager Oxford,"Designed for those who want stylish looks without sacrificing performance, this Mesh oxford is quick-drying and cozy from morning commutes to weekend adventures. Reviewers consistently praise how long-lasting the construction feels, thanks to reflective trim for low-light visibility. It also features reinforced stitching for added versatility.",Footwear,Mesh,Casual
PRD-1085,Heritage Chelsea Boot,"This on-trend chelsea boot is crafted from premium Synthetic for a look that works just as well while traveling or on the go. It's built to be airy and sturdy, so it holds up to daily wear without losing its shape. The design includes double-stitched seams and reinforced stitching, giving you both form and function in one piece.",Footwear,Synthetic,Travel
PRD-1086,Coastal Chinos,"Whether you're headed out for formal occasions and the office or just running errands, this waterproof chinos keeps you covered. The Polyester construction is both soft and sturdy, and moisture-wicking lining adds a practical touch. Finished with double-stitched seams, it's a stylish choice for almost any setting.",Bottoms,Polyester,Formal
PRD-1087,Nordic Belt,"Designed for those who want modern looks without sacrificing performance, this Wool belt is waterproof and breathable from morning commutes to weekend adventures. Reviewers consistently praise how rugged the construction feels, thanks to a relaxed, roomy fit. It also features a brushed interior finish for added versatility.",Accessories,Wool,Business
PRD-1088,Cascade Scarf,"Designed for those who want chic looks without sacrificing performance, this Silicone scarf is weatherproof and soft from morning commutes to weekend adventures. Reviewers consistently praise how sturdy the construction feels, thanks to a relaxed, roomy fit. It also features a reinforced toe cap for added versatility.",Accessories,Silicone,Activewear
PRD-1089,Horizon Scarf,"This stylish scarf is crafted from premium Silicone for a look that works just as well for weddings and other special events. It's built to be comfortable and rugged, so it holds up to daily wear without losing its shape. The design includes a brushed interior finish and a slim, tapered fit, giving you both form and function in one piece.",Accessories,Silicone,Wedding
PRD-1090,Nordic Sneaker,"Designed for those who want stylish looks without sacrificing performance, this Mesh sneaker is windproof and lightweight from morning commutes to weekend adventures. Reviewers consistently praise how durable the construction feels, thanks to adjustable straps. It also features a reinforced toe cap for added versatility.",Footwear,Mesh,Business
PRD-1091,Coastal Cargo Pants,"This elegant cargo pants is crafted from premium Wool Blend for a look that works just as well during workouts and high-intensity activity. It's built to be airy and tough, so it holds up to daily wear without losing its shape. The design includes a hidden interior pocket and reflective trim for low-light visibility, giving you both form and function in one piece.",Bottoms,Wool Blend,Activewear
PRD-1092,Cascade Trench Coat,"Designed for those who want on-trend looks without sacrificing performance, this Softshell trench coat is water-resistant and lightweight from morning commutes to weekend adventures. Reviewers consistently praise how tough the construction feels, thanks to articulated seams for freedom of movement. It also features moisture-wicking lining for added versatility.",Outerwear,Softshell,Formal
PRD-1093,Nordic T-Shirt,"A wardrobe staple, this t-shirt pairs sharp-looking styling with a cozy feel you'll want to wear all day. Made from Merino Wool, it's engineered to be long-lasting season after season. Thoughtful details like a brushed interior finish and a slim, tapered fit make it ideal for a relaxed, everyday look.",Tops,Merino Wool,Casual
PRD-1094,Drift Trench Coat,"Whether you're headed out in the office or client meetings or just running errands, this waterproof trench coat keeps you covered. The Wool construction is both soft and sturdy, and reflective trim for low-light visibility adds a practical touch. Finished with a reinforced toe cap, it's a on-trend choice for almost any setting.",Outerwear,Wool,Business
PRD-1095,Metro Tote Bag,"A wardrobe staple, this tote bag pairs sleek styling with a flexible feel you'll want to wear all day. Made from Leather, it's engineered to be reinforced season after season. Thoughtful details like reinforced stitching and moisture-wicking lining make it ideal on hiking trails and outdoor excursions.",Accessories,Leather,Outdoor
PRD-1096,Vantage Tote Bag,"A wardrobe staple, this tote bag pairs sharp-looking styling with a comfortable feel you'll want to wear all day. Made from Leather, it's engineered to be rugged season after season. Thoughtful details like a brushed interior finish and reinforced stitching make it ideal while traveling or on the go.",Accessories,Leather,Travel
PRD-1097,Nordic Backpack,"Whether you're headed out on hiking trails and outdoor excursions or just running errands, this weatherproof backpack keeps you covered. The Wool construction is both breathable and sturdy, and eco-friendly recycled materials adds a practical touch. Finished with double-stitched seams, it's a chic choice for almost any setting.",Accessories,Wool,Outdoor
PRD-1098,Urban Trousers,"Designed for those who want elegant looks without sacrificing performance, this Polyester trousers is quick-drying and soft from morning commutes to weekend adventures. Reviewers consistently praise how long-lasting the construction feels, thanks to a quick-release buckle. It also features articulated seams for freedom of movement for added versatility.",Bottoms,Polyester,Wedding
PRD-1099,Urban Cargo Pants,"A wardrobe staple, this cargo pants pairs stylish styling with a comfortable feel you'll want to wear all day. Made from Ripstop Nylon, it's engineered to be sturdy season after season. Thoughtful details like reflective trim for low-light visibility and a quick-release buckle make it ideal for a relaxed, everyday look.",Bottoms,Ripstop Nylon,Casual
